,,,
ProjectDiagnostics_AssetsExportOnly,Build Develop (Assets only),Собрать Develop (ассеты),构建 Develop 版本 (仅资源)
ProjectDiagnostics_CodeExportOnly,Build Develop (Code only),Собрать Develop (код),构建 Develop 版本 (仅代码)
ProjectDiagnostics_OptimiseExportWithCaching,Optimize export with Caching,Кэшировать экспорт,使用缓存优化导出速度
ProjectDiagnostics_OpenInBrowser,Open In Browser,Открыть в браузере,在浏览器中打开
,,,
ProjectDiagnostics_LP_IllegalKeyword_Details,You are using a reserved keyword: {0} for Unity Playworks Plugin. Please change the name of the field,"Вы используете зарезервированное для Unity Playworks Plugin ключевое слово: {0}. Пожалуйста, переименуйте имя поля",您正在使用 Unity Playworks Plugin 保留的关键词: {0}，请进行更改。
ProjectDiagnostics_LP_IllegalKeyword_Description,You are using an illegal keyword: {0},Вы используете нелегальное ключевое слово: {0},您正在使用非法的关键词: {0}
ProjectDiagnostics_LP_APICall_Details,You are not using the Luna API: {0}.{1}. Some ad networks require these calls. Please add these calls to ensure your playable works on all ad networks. Check documentation for more information,"Вы не используете Luna API: {0}.{1}. Некоторые рекламные сети требуют вызова этих API. Пожалуйста, добавьте эти вызовы для того, чтобы быть уверенными, что Ваш плеебл будет работать на всех платформах. Ознакомьтесь с документацией для дополнительной информации",您没有使用到 Luna 的 API: {0}.{1}。一些广告网络需要用到它们。请将缺失的 API 添加到可玩广告中以确保能在所有的网络上正常运行。详情请查看开发文档。
ProjectDiagnostics_LP_APICall_Description,You are not using the Luna API: {0}.{1},Вы не используете Luna API: {0}.{1},您没有使用 Luna 的 API: {0}.{1}
ProjectDiagnostics_LP_APICall_CustomEvents_Details,You are not using any custom events. It is recommended to use custom events to have a better understanding of the playable.,Вы не используете пользовательские события. Рекомендуется использовать пользовательские события для лучшего понимания плеебла.,您没有使用任何自定义事件。建议使用自定义事件来更好的评估可玩广告。
ProjectDiagnostics_LP_APICall_CustomEvents_Description,You are not using any custom events.,Вы не используете пользовательские события.,您没有使用任何自定义事件。
ProjectDiagnostics_LP_APICall_CustomEvents_Count_Details,You are only using {0} custom events. It is recommended to use more custom events to have a better understanding of the playable.,Вы используете только {0} пользовательских событий. Рекомендуется использовать пользовательские события для лучшего понимания плеебла.,您只使用了 {0} 个自定义事件。建议使用更多自定义事件来更好地评估可玩广告。
ProjectDiagnostics_LP_APICall_CustomEvents_Count_Description,You are only using: {0} custom events.,Вы используете только {0} пользовательских событий.,您只使用了 {0} 个自定义事件。
ProjectDiagnostics_LP_APICall_Not_Supported_Details,You are using a function/component which are currently not supported in Unity Playworks Plugin: {0}{1}.,"Вы используете функцию/компонент, который не поддерживается плагином: {0}{1}.",您正在使用 Unity Playworks Plugin 目前不支持的函数或组件: {0}{1}
ProjectDiagnostics_LP_APICall_Not_Supported_Description,You are using an unsupported feature: {0}{1},Вы используете неподдерживаемый функционал : {0}{1},您正在使用不支持的功能: {0}{1}
ProjectDiagnostics_LP_Base_Type_Not_Supported_Details,You are using an unsupported base type: {0} which is not supported in ad networks.,"Вы используете неподдерживаемый базовый тип: {0}, который не поддерживается рекламными сетями.","您正在使用不支持的基类型: {0}, 在广告网络上无法使用"
ProjectDiagnostics_LP_Base_Type_Not_Supported_Description,You are using an unsupported base type: {0}.,Вы используете неподдерживаемый базовый тип: {0}.,您正在使用不支持的基类型: {0}
,,,
HealthCheck_LP_ExcessiveComponents_Description,Exceeded {0} recommended count,Превышено рекомендуемое количество - {0},超出了推荐的上限 {0}
HealthCheck_LP_ExcessiveComponents_Details,"Recommended: {0}, current: {1}.","Рекомендовано: {0}, текущее: {1}.","推荐: {0}, 目前: {1}"
ProjectDiagnostics_LP_ExcessiveComponents_Description,Extensive usage of {0} Component,Избыточное использование компонента {0},过量使用 {0} 组件
ProjectDiagnostics_LP_ExcessiveComponents_Details,"There is extensive usage of the {0} component.\nExcessive usage of any component can be detrimental to performance on lower and in some cases higher end devices, consider reducing the amount the component is used.\nRecommended count: {1}\ncurrent count {2}.",Избыточное использование компонента {0}.\nИзбыточное использование любого компонента может привести к падению производительности на слабых устройствах. Рассмотрите возможность уменьшить число таких компонентов.\nРекомендуемое количество: {1}\nтекущее количество {2}.,过量使用 {0} 组件。\n过量使用任何组件都有可能会对性能在低端甚至一些高端设备上的表现造成影响，请考虑减少使用量。\n推荐: {1}\n目前: {2}
Basic_TogglingSceneThatNotInBuildSettingsHelpMessage,Toggling will add this scene to Build Settings/Scenes in Build,При выборе эта сцена будет добавлена в Build Settings/Scenes in Build,勾选将该场景添加至构建设置/构建中场景
ProjectDiagnostics_LP_AnimationCompression_Description,Animation optimisations are disabled,Оптимизация анимаций выключена,动画优化未启用
ProjectDiagnostics_LP_AnimationCompression_Details,Use the auto fix button or manually go to Assets → Animations and enable the “Half-precision floating-point format“ checkbox.,Попробуйте применить оптимизацию к вашим анимации,请尝试应用动画优化
ProjectDiagnostics_LP_MeshCompression_Description,Mesh optimisations are disabled,Оптимизация мешей выключена,模型网格优化未启用
ProjectDiagnostics_LP_MeshCompression_Details,Use the auto fix button or manually go to Assets → Meshes and enable the “Half-precision floating-point format“ checkbox.,Попробуйте применить оптимизацию к вашим мешам,请尝试应用模型网格优化
,,,
PlaygroundSection_InvalidLinkWarning,"Game install link may be incorrect. Please update it in Settings > Ad Networks tab or hit ""Update Link""","Ссылка на скачивание игры может быть некорректной. Пожалуйста, обновите ее в Настройки > вкладка Рекламные сети или нажмите ""Обновить ссылку""","游戏安装连接可能不正确。请在 Settings > Ad Networks 进行修改或者点击""更新链接"""
PlaygroundSection_UpdateInvalidLink,Update Link,Обновить ссылку,更新链接
ProjectDiagnostics_LP_ClassName_Details,You are using an illegal class name reserved for Unity Playworks Plugin: {0}. Please change the name of the class: {0},"Вы используете невалидное имя класса, зарезервированное плагином: {0}. Пожалуйста, переименуйте класс: {0}",您正在使用 Unity Playworks Plugin 保留的类名称: {0}. 请更改名称: {0}
ProjectDiagnostics_LP_ClassName_Description,You are using an illegal class name: {0},Вы используете невалидное имя класса: {0},您正在使用非法的类名称: {0}
Basic_UseDevEnv,Use Dev Environment,Окружение разработчика,使用开发调试环境
,,,
ProjectDiagnostics_FixIssue,Fix Issue,Исправить,修复问题
Popup_ChangeColourSpace_Title,Swap to Gamma Colour Space?,Переключить на Gamma Colour Space?,转换到 Gamma 色彩空间?
Popup_ChangeColourSpace_Description,This action can be reverted in Project Settings,Это действие может быть отменено в Project Settings,此操作可以在项目设定里撤销
Popup_ChangeColourSpace_Ok,Okay,Окей,好的
Popup_ChangeColourSpace_Cancel,Cancel,Отмена,取消
Popup_ChangeColourSpace_Docs,Open Documentation,Открыть документацию,打开文档
,,,
Popup_ChangeTMPVersion_Title,Change TMP version?,Изменить версию TMP?,更换 TMP 版本?
Popup_ChangeTMPVersion_Description,Unity Playworks Plugin doesn’t support TextMeshPro {0} Change it to recommended {1}?\n\nThis action can be reverted in PackageManager,Unity Playworks Plugin не поддерживает TextMeshPro {0} Изменить ее на рекомендуемую {1}?\n\nЭто действие может быть отменено в PackageManager,Unity Playworks Plugin 不支持 TextMeshPro {0} 将其更换成推荐的 {1}?\n\n该操作可在 PackageManager 中回滚
Popup_ChangeTMPVersion_Ok,Okay,Окей,好的
Popup_ChangeTMPVersion_Cancel,Cancel,Отмена,取消
Popup_ChangeTMPVersion_Docs,Open Documentation,Открыть документацию,打开文档
,,,
Basic_SceneExclusionHint,Excluded,Исключена,已排除
,,,
ProjectDiagnostics_ErrorType,Error Type,Тип ошибки,错误类型
ProjectDiagnostics_ErrorSubType,Error Sub Type,Подтип ошибки,错误子类型
ProjectDiagnostics_ReadMore,Read more...,Документация,查看更多...
ProjectDiagnostics_LogCount,Log Count:,Число логов:,记录数:
,,,
HealthCheck_PG_Checklist,Checklist,Checklist,检查表
HealthCheck_PG_Status,Status,Status,状态
HealthCheck_PG_CanBeCompiled,Core functionality,Главная фукциональность,核心功能
HealthCheck_PG_CompatibleWithAdNetworks,Ad networks,Рекламные сети,广告网络
HealthCheck_PG_MeetPerformanceRequirements,Technical performance,Технические характеристики,技术性能
HealthCheck_PG_ContainsBestPractises,Best practises,Лучшие практики,最佳实践
HealthCheck_PG_ActionRequired,Action Required,Необходимо действие,需要注意
HealthCheck_PG_Examples,Examples:,Примеры:,例:
HealthCheck_PG_CoreFunctionality_Explanation,"Your project is unable to compile, please fix all compiler errors in order to test and upload your project.","Ваш проект не компилируется. Пожалуйста, исправьте все ошибки компиляции, чтобы протестировать и опубликовать проект.",您的项目无法进行编译，请修复所有编译错误以进行后续的测试和发布
HealthCheck_PG_CoreFunctionality_Examples,"Use of Reserved Keywords in the Unity Playworks Plugin, Use of Unsupported Unity Features in the Unity Playworks Plugin","Использование зарезервированного ключнвого слова, использование неподдерживаемого плагином Unity функционала.  ",使用 Unity Playworks Plugin 保留的关键词以及 Unity Playworks Plugin 不支持的 Unity 功能
HealthCheck_PG_AdNetworks_Explanation,Your project is not compatible with all ad networks. This means some ad networks may reject your playable.,"Ваш проект не поддерживается всеми рекламными сетями. Это означает, что некоторые рекламные сети отклонят Ваш плеебл.",您的项目并不兼容所有的广告网络。在一些网络上可能无法过审。
HealthCheck_PG_AdNetworks_Examples,Your project does not include InstallFullGame() or GameEnded() API.,Проект не использует InstallFullGame() или GameEnded() API.,项目没有使用 InstallFullGame() 或 GameEnded() API。
HealthCheck_PG_TechnicalPerformance_Explanation,"Your project does not follow our best practises for playable creatives performance and may not be approved by ad networks, performs poorly or crashes. Playable creatives that do not incorporate our features have a significant lower IPM.","Ваш проект не использует наши лучшие практики для плеебл креативов, и он может быть не одобрен рекламной сетью, плохо оптимизирован или сломаться. Плееблы, которые не используют наш функционал, имеют меньший IPM.",您的项目没有按照最佳实践进行开发，可玩广告可能会出现性能问题导致无法通过广告网络的审核。按照建议开发的情况下，可玩广告会有较高的IPM。
HealthCheck_PG_TechnicalPerformance_Examples,"Your project is not using the correct texture compression, mesh compression, have too many colliders, particles and rigidbodies.","Ваш проект не использует компрессию текстур, мешей, проект имеет слишком много коллайдеров, частиц и твердых тел.",使用纹理贴图压缩，模型网格压缩，避免过多的碰撞器，粒子系统和刚体
HealthCheck_PG_BestPractises_Explanation,Your project does not follow our best practices for playable creatives and may perform poorly as a result. Statistics has shown us playable creatives that do not incorporate the following features have a significant lower IPM than those that do.,"Ваш проект не следует лучшим практикам для плеебл креативов и это может отрицательно сказаться на качестве. Статистика показывает, что плееблы, которые не используют наш функционал, имеют IPM гораздо ниже чем у тех плееблов, которые используют функционал.",您的项目没有按照最佳实践进行开发并可能会有较差的性能。数据表明按照我们的建议开发的可玩广告可以获得更高的IPM。
HealthCheck_PG_BestPractises_Examples,"Your project does not use any Custom Events, does not support all orientations or contains an end card.","Ваш проект не использует пользовательские события, не поддерживает все разрешения или не содержит конечного экрана.",您的项目没有使用任何自定义事件，不支持横竖屏或没有落地页。
HealthCheck_PG_ReadDocs,Read docs,Документация,阅读文档
HealthCheck_PG_ViewIssuesAndFix,View issues and fix,Показать и исправить,查看问题并修复
HealthCheck_PG_CreateHub,Upload to Creative Library,Загрузка в Creative Library,上传到 Creative Library 
,,,
ProjectDiagnostics_OutdatedReport,Diagnostics failed to display correctly. Please run a new build,"Не удалось отобразить диагностику. Пожалуйста, запустите новый билд",项目诊断无法显示，请重新构建
,,,
Popup_CreateHubBuildStart_Title,Build Project?,Собрать проект?,构建项目?
Popup_CreateHubBuildStart_Description,There are issues in project diagnostics that could improve playable health if fixed.\n\nBuild anyway?,"Обнаружены проблемы в диагностике проекта. Можно повысить качество плеебла, если их исправить.\n\nВсе равно собрать проект?",项目诊断中有问题可以修复以提升性能。\n\n确定现在构建？
Popup_CreateHubBuildStart_Ok,Build,Собрать,构建
Popup_CreateHubBuildStart_Cancel,Cancel,Отмена,取消
,,,
CreateHub_CoreIssuesWarning,Issues with the core functionality of the playable have been found. Please fix before uploading to Creative Library,"Найдены проблемы в главной функциональности плеебла. Пожалуйста, исправьте перед загрузкой в Creative Library",检测到可玩广告核心功能相关的问题，请修复后再尝试上传至 Creative Library
,,,
ProjectDiagnostics_LP_UnreadableVideoClip_Description,Unsupported video format '{0}',Неподдерживаемый формат видео '{0}',不支持的视频格式 '{0}'
ProjectDiagnostics_LP_UnreadableVideoClip_Details,Unsupported video format '{0}',Неподдерживаемый формат видео '{0}',不支持的视频格式 '{0}'
,,,
Popup_UnhandledException_Title,Unhandled Exception,Необрабатываемое исключение,未处理异常
Popup_UnhandledException_Description,Please check console for more details,Дополнительную информацию можете найти в окне консоли,请在控制台查看更多细节
Popup_UnhandledException_Ok,Okay,Окей,好的
Popup_UnhandledException_MoreDetails,More details,Подробности,更多细节
,,,
ProjectDiagnostics_IssueDetails,Issue Details,Детали,问题细节
HealthCheck_Title,Playable Health Status,Статус качества плеебла,可玩广告健康状态
HealthCheck_FixButton,Details,Подробности,详细信息
HealthCheck_Category_Description_Empty,{0} has no issues!,Раздел {0} не содержит проблем!,{0} 没有问题！
HealthCheck_Category_Description_Core_NotCritical,"Your project can be uploaded to Unity Playworks. However, it is recommended to fix not critical issues in the Core section","Ваш проект может быть загружен в Unity Playworks. Тем не менее, рекомендуется исправить некритические проблемы, представленные в секции Главная функциональность","Your project can be uploaded to Unity Playworks. However, it is recommended to fix not critical issues in the Core section"
HealthCheck_Category_Description_Core,"Your project is unable to compile, please fix all compiler errors in order to test and upload your project.","Ваш проект не компилируется. Пожалуйста, исправьте все ошибки компиляции, чтобы протестировать и опубликовать проект.","您的项目无法编译，请修复所有编译器错误以进行测试和上传。
"
HealthCheck_Category_Description_AdNetwork,Your project is not compatible with all ad networks. This means some ad networks may reject your playable.,"Ваш проект не поддерживается всеми рекламными сетями. Это означает, что некоторые рекламные сети отклонят Ваш плеебл.",您的项目并没有和所有广告网络兼容。一些网络可能不会接受您的可玩广告。
HealthCheck_Category_Description_TechnicalPerformance,"Your project's technical performance may be impacted by issues present within the category, consider fixing to improve technical performance of your playable","Производительность Вашего проекта может быть ухудшена проблемами, представленными в этой категории. Исправьте их, чтобы повысить техническое качество плеебла","
您的项目的技术性能可能受当前检测到的问题的影响，请考虑修复以提升性能。"
HealthCheck_Category_Description_BestPractises,Your project does not employ all of our best practises. Fix the issues to improve your playable in various ways,"Ваш проект не использует все наши лучшие практики. Исправьте проблемы, чтобы улучшить Ваш плеебл в разных направлениях",您的项目没有完全参照我们的最佳实践。请修复潜在问题以提升各方面性能。
,,,
Popup_EnableAnimationCompression_Title,Enable Animation compression?,Включить компрессию анимаций?,启用动画压缩?
Popup_EnableAnimationCompression_Description,This action can be reverted in the Assets section,Может быть отменено в секции Assets,该操作可以在 Assets 菜单中回滚
Popup_EnableAnimationCompression_Ok,Okay,Окей,好的
Popup_EnableAnimationCompression_Cancel,Cancel,Отмена,取消
Popup_EnableAnimationCompression_Docs,Open Documentation,Открыть документацию,打开文档
,,,
Popup_EnableMeshCompression_Title,Enable Mesh compression?,Включить компрессию мешей?,启用模型网格压缩?
Popup_EnableMeshCompression_Description,This action can be reverted in the Assets section,Может быть отменено в секции Assets,该操作可以在 Assets 菜单中回滚
Popup_EnableMeshCompression_Ok,Okay,Окей,好的
Popup_EnableMeshCompression_Cancel,Cancel,Отмена,取消
Popup_EnableMeshCompression_Docs,Open Documentation,Открыть документацию,打开文档
,,,
Popup_EnableRuntimeAnalysis_Title,Enable Runtime Analysis?,Enable Runtime Analysis?,启用运行时分析?
Popup_EnableRuntimeAnalysis_Description,This action can be reverted in the Runtime Analysis section,Может быть отменено в секции Runtime Analysis,该操作可以在 Runtime Analysis 菜单中回滚
Popup_EnableRuntimeAnalysis_Ok,Okay,Окей,好的
Popup_EnableRuntimeAnalysis_Cancel,Cancel,Отмена,取消
Popup_EnableRuntimeAnalysis_Docs,Open Documentation,Открыть документацию,打开文档
,,,
Basic_ScenesInBuild_Hint,Scenes in Build will display a list of all scenes currently configured in Unity's Build Settings window and additionally (from version 3.5.0) your currently open scene in Unity Editor if it has not been added to Build Settings. Toggling it will add the scene to Build Settings. This is necessary for Unity Playworks Plugin to be able to discover the list of scenes and also to be able to gather the assets and scripts used by those scenes. Build Settings window can be opened via File > Build Settings.,"Сцены в билде отображают список всех сцен сконфигуиррованных в настройках билда Unity и, дополнительно (с версии 3.5.0), Вашу текущую открытую сцену, если она не была добавлена в настройки билда Unity. Включение сцены добавит сцену в настройки билда Unity. Это необходимо для Unity Playworks Plugin для получения списка сцен и сбора использованных в них ассетов и скриптов. Настройки билда могут быть открыты через File > Build settings.",构建中的场景将列出当前在 Unity 的 Build Settings 窗口中配置的所有场景，以及（从版本 3.5.0 开始）在 Unity Editor 中当前打开但尚未添加到 Build Settings 的场景。勾选以将场景添加到构建设置。请勾选所需要的场景以使 Unity Playworks Plugin 能够收集这些场景使用的资源和脚本。 Build Settings 窗口可以通过 File > Build Settings 打开
,,,
Basic_ExportType_Hint,Which assets will be exported from Unity Playworks Plugin. Several options are provided to allow you reduce the size quickly.,Какие ассеты будут экспортированы через Unity Playworks Plugin. Предоставлены опции для быстрого уменьшения размера.,决定哪些资源将被 Unity Playworks Plugin 导出。界面有多个不同选项来快速减小构建大小
Advanced_GameSettings_Hint,In the Unity Playworks Plugin interface a number of advanced settings are provided in order to help you customise the build output of your playables.,"В интерфейсе Unity Playworks Plugin представлены продвинутые настройки, которые помогут настроить выходные данные плеебла.",Unity Playworks Plugin 界面中提供了许多高级设置以帮助您自定义可玩广告的构建导出
Advanced_UsePlayerPrefs_Hint,If your game uses PlayerPrefs then you may use this checkbox to test the playable behaviour as some ad networks may not facilitate the storing/retrieving of local data.,"Если Ваша игра использует PlayerPrefs, то Вы можете использовать этот флаг, чтобы протестировать работу плеебла, так как некоторые рекламные сети могут не допускать сохранение/получение локальных данных.",如果您的游戏使用了 PlayerPrefs 功能，请勾选该选项并且测试您的可玩广告，部分广告网络不支持本地数据的读写功能
Advanced_CodeMinification_Hint,Code minification removes unnecessary or redundant data without affecting how the code is executed in the browser. This should be used to reduce the overall size of your playable.,"Минификация кода удаляет необязательные или ненужные данные, не изменяя поведение кода в браузере. Должно быть использовано, чтобы уменьшить общий размер плеебла.",代码最简化删除了不必要或冗余的数据，而不影响代码在浏览器中的执行方式。这可以用于减少可玩广告的整体大小。
Advanced_GenericCheck_Hint,This feature is used for specific cases with generics and notably should be enabled when using the DOTween plugin.,Эта функция используется для отдельных случаев с generic классами и должна быть включена при использовании плагина DOTween.,此功能用于泛型的特定情况，特别是在使用 DOTween 插件时应启用
Advanced_DisableAntiAliasing_Hint,By default anti aliasing will be used if supported by the device which is running the playable. Use this option if you want to disable anti alias for all devices. Enabling this option could increase performance on high resolution monitors like 1440p or 4K.,"По умолчанию, анти-алиасинг будет включен, если поддерживается девайсом, на котором запущен плеебл. Используйте этот флаг, чтобы отключить анти-алиасинг для всех девайсов. Включение этого флага может повысить производительность на мониторах с высоким разрешением (1440р или 4К).",如果运行设备支持，默认情况下将使用抗锯齿。如果您想为所有设备禁用抗锯齿功能，请使用此选项。启用此选项可以提高 1440p 或 4K 等高分辨率显示器的性能
Advanced_ForceBase64_Hint,"Unity Playworks Plugin encodes binary assets such as images and videos in Base122. By using Base122 we can represent assets using 122 characters instead of 64 saving up to ~30% space in comparison to Base64.
In some cases Base122 may cause an errors in Ad Networks.","Unity Playworks Plugin кодирует такие бинарные ассеты, как изображения и видео, в Base122. Используя Base122 можно представить ассет с использованием 122 символов, вместо 64 и сэкономить до ~30% размера, в сравнении с Base64. В некоторых случаях Base122 может создавать ошибки в рекламных сетях.","Unity Playworks Plugin 会将资源例如图像和视频以 Base122 进行编码。通过使用 Base122，我们可以使用 122 个字符而不是 64 个字符来表示资源，与 Base64 相比节省了大约 30% 的空间。
但是在某些特殊情况下，Base122 可能会在广告网络上报错。"
Advanced_Preloader_Hint,The preloader is displayed while the playable ad is initialising to ensure users aren't left waiting with a blank screen.,"Прелоадер отображается во время загрузки плеебла, чтобы пользователь не ожидал загрузки, глядя на пустой экран.",使用载入界面以替换广告初始化时的黑屏
Advanced_Preloader_Active_Hint,This checkbox enables or disables the preloader.,Этот флаг включает или выключает прелоадер.,启用或禁用载入界面
Advanced_Preloader_Icon_Hint,The icon will be displayed in the center of the screen during playable loading process. Recommended size: 50x50 pixels. Please note that Unity Playworks Plugin compresses are not applied to the icon.,Иконка будет отображаться в центре экрана во время загрузки. Рекомендованный размер: 50х50 пикселей. Сжатие к иконке не применяется.,图标将会在载入界面的正中央显示。推荐尺寸: 50 x 50 像素。请注意该图标不受贴图压缩设置的影响。
Advanced_Preloader_Background_Color_Hint,Use this field to change the background color of the preloader.,"Используйте это поле, чтобы изменить цвет фона прелоадера.",更改载入界面的背景颜色
,,,
Basic_ProjectSettings_AutoInstantiate_Hint,"The Auto-instantiate Prefabs option instantiates prefabs during playable startup when enabled. This can lead to longer loading time but reduce frame rate drops during gameplayThe Auto-instantiate Prefabs option instantiates prefabs during playable startup when enabled. This can lead to longer loading time, but reduce frame rate drops during gameplay. Also, prefab data isn't available before prefab instantiation.","Опция Автораспаковка префабов иннициализирует префаб во время инициализации плеебла. Это может привести к увеличению времени загрузки, но снизить падения фреймрейта во время геймплея. Также, данные префаба недоступны до момента его инициализации.",Auto-instantiate Prefabs 选项启用后将在可玩广告初始化阶段将 Prefabs 实例化。这可能会加长加载时间，但会减少游戏过程中帧率的情况。此外，Prefabs 的相关数据在实例化之前不可用。
,,,
EditorTab_AdNetworkSettings_AppName_Hint,The name of your application which will be used in the Preloader displayed before the ad has loaded.,"Название Вашего приложения, которое будет отображено в прелоадере во время загрузки плеебла.",载入界面显示的 App 名称
EditorTab_AdNetworkSettings_IosLink_Hint,The Apple App Store link for your app. Please note this is only required for Unity Ads & AdColony.,Ссылка на Apple App Store Вашего приложения. Необходимо только для Unity Ads и AdColony.,Apple 商店 App 地址。投放 Unity Ads 和 AdColony 必填。
EditorTab_AdNetworkSettings_AndroidLink_Hint,The Google Play Store link for your app. Please note this is only required for Unity Ads & AdColony.,Ссылка на Google Play Store Вашего приложения. Необходимо только для Unity Ads и AdColony.,Google Play 商店 App 地址。投放 Unity Ads 和 AdColony 必填。
,,,
EditorTab_AdNetworkSettings_FbAssetId_Hint,The unique ID of your asset.,Уникальный идентификатор Вашего ассета.,您的素材的专有 ID
EditorTab_AdNetworkSettings_FbPackageType_Hint,Whether the build for Facebook is provided as a ZIP (5Mb limit) or a single inlined HTML file (2Mb limit).,"Определяет, представлен ли билд для Facebook как ZIP (лимит 5 МБ) или как единичный HTML файл (лимит 2МБ).",是否为 Facebook 打包为 ZIP (5MB 限制) 或内联 HTML 文件 (2MB 限制)
,,,
EditorTab_AdNetworkSettings_IsApiType_Hint,The API which will be used in the playable ad.,"API, который будет использован в плеебле.",可玩广告所使用的 API
EditorTab_AdNetworkSettings_IsApiMode_Hint,PA (Playable Ad) or IEC (Interactive End Card).,PA (Playable Ad) or IEC (Interactive End Card).,PA 或者 IEC
EditorTab_AdNetworkSettings_IsVersionCode_Hint,Version code (please consult ironSource documentation).,Код версии (см. подробнее в документации ironSource).,版本码 (请查询 ironSource 文档)
,,,
EditorTab_AdNetworkSettings_IsPackageType_Hint,Whether the build for ironSource is provided as a single inlined HTML file or used a CDN to deliver the assets.,Билд для ironSource представлен как единичный HTML файл или используется CDN для доставки ресурсов.,是否为 ironSource 打包为内联 HTML 文件或使用 CDN 传输资源
,,,
EditorTab_AdNetworkSettings_TttOrientation_Hint,Both TikTok and Tencent require that you define whether your playable supports responsive or fixed orientation.,"Оба, TikTok и Tencent, требуют указать, поддерживает ли плеебл адаптивную или фиксированную ориентацию.",TikTok(抖音)和Tencent(腾讯)需要您提供可玩广告是否支持横竖屏切换或固定转向的信息
,,,
EditorTab_AdNetworkSettings_TtLanguage_Hint,TikTok requires that you specify which languages your playable will support.,"TikTok требует указать, какие языки поддерживает плеебл.",TikTok(抖音)需要您提供可玩广告所支持的语言
EditorTab_AdNetworkSettings_FbDisableCompression_Hint,Facebook disable compresion.,Facebook отключение сжатия.,Facebook 禁用压缩
Account_Account_Hint,Here you can logout of your Unity Playworks account.,Здесь Вы можете выйти из своего аккаунта Unity Playworks.,登出 Unity Playworks 账户
InclExclAssets_ForceExclude_Hint,It allows you to control which assets are excluded from your build. Please note selecting a folder excludes every asset in that folder.,Это поле позволяет контроллировать какие ассеты будут вырезаны из билда. Выбор папки вырезает все ассеты в ней.,控制从构建中排除哪些素材。请注意，选择文件夹将会排除该文件夹下所有的素材。
InclExclAssets_ForceInclude_Hint,It allows you to control which assets are included in your build. Please note selecting a folder includes every asset in that folder and force-include always wins.,Это поле позволяет контроллировать какие ассеты будут включены в билд. Выбор папки включает все ассеты в ней в билд. Принудительное включение перезапишет принудительное выключение ассета.,控制从构建中包括哪些素材。请注意，选择文件夹将会包括该文件夹下所有的素材，并且将覆盖强制排除的设定。
TexturesTab_DefaultSettings_Hint,"Textures often take most of the build size. Change this settings to apply compression for them, if you want to specify compression for some textures - use override settings below.","Текстуры часто занимают большую часть билда. Изменените эти настройки для применения к ним сжатия, если же Вы хотите определить настройки лишь для некоторых текстур - используйте перезаписанные настройки.",纹理贴图通常会占用较大的构建空间。如果要为某些纹理进行不同的设定，请使用逐纹理贴图压缩
TexturesTab_MaxSize_Hint,This control allows to set maximum allowed size (width x height) of a texture.,This control allows to set maximum allowed size (width x height) of a texture,控制纹理贴图最大允许的分辨率 ( 宽 x 高)
TexturesTab_PerTextureSettings_Hint,Used to change separate textures compression settings. Please note selecting a folder includes every asset in that folder.,Используется для изменения настроек компрессии отдельных текстур. Выбор папки перезапишет настройки для всех ассетов в ней.,用来更改单个纹理贴图的压缩设定。请注意，选择文件夹将会包括文件夹下所有的纹理贴图。
SoundsTab_PerTextureSettings_Hint,Used to change separate sounds compression settings. Please note selecting a folder includes every asset in that folder.,Используется для изменения настроек компрессии отдельных звуков. Выбор папки перезапишет настройки для всех ассетов в ней.,用来更改单个音效的压缩设定。请注意，选择文件夹将会包括文件夹下所有的音效。
FontTab_PerFontSettings_Hint,Used to change separate fonts compression settings. Please note selecting a folder includes every asset in that folder.,Используется для изменения настроек компрессии отдельных шрифтов. Выбор папки перезапишет настройки для всех ассетов в ней.,用来更改单个字体的压缩设定。请注意，选择文件夹将会包括文件夹下所有的字体。
Meshes_PerMeshSettings_Hint,Used to change separate meshes compression settings. Please note selecting a folder includes every asset in that folder.,Используется для изменения настроек компрессии отдельных мешей. Выбор папки перезапишет настройки для всех ассетов в ней.,用来更改单个网格的压缩设定。请注意，选择文件夹将会包括文件夹下所有的网格。
Animations_PerAnimationSettings_Hint,Used to change separate animations compression settings. Please note selecting a folder includes every asset in that folder.,Используется для изменения настроек компрессии отдельных анимаций. Выбор папки перезапишет настройки для всех ассетов в ней.,用来更改单个动画的压缩设定。请注意，选择文件夹将会包括文件夹下所有的动画动画。
TexturesTab_Format_Hint,This controls the format of the texture. By default Unity Playworks Plugin uses PNG32 format which is a lossless compression format supporting RGB and Alpha channels.,"Контролирует формат текстуры. По умолчанию, Unity Playworks Plugin использует формат PNG32, который поддерживает сжатие без потерь и каналы RGB и Alpha.",用来控制纹理贴图的格式。Unity Playworks Plugin 默认使用无损并支持 Alpha 通道的 PNG32 格式。
TexturesTab_Compression_Hint,PNG is well-known for being able to be compressed to reduce size whilst maintain quality images.,"PNG известен своим свойством уменьшать размер изображения, сохраняя его качество.",PNG 以能够压缩减小尺寸同时保持图像质量而闻名
TexturesTab_Quality_Hint,Quality in percentage [0-100],Процент качества [0-100],质量百分比 [0-100]
